file_name,line_count
Modules/Asset/Database/Migrations/2021_08_11_123557_add_owned_by_columns_assets.php,102
Modules/Asset/Database/Migrations/2021_08_25_092728_alter_allowed_permission_column_in_asset_permissions_table.php,47
Modules/Asset/Database/Migrations/2022_09_02_000000_add_company_id_assets_module_table.php,73
Modules/Asset/Database/Migrations/2023_05_19_070306_add_lost_status_table.php,26
Modules/Asset/Database/Migrations/2023_06_12_094141_fix_file_upload_to_s3.php,42
Modules/Asset/Database/Migrations/2023_11_02_094141_assets_notify_update_global_settings.php,25
Modules/Asset/Database/Migrations/2023_11_28_094141_assets_license_type_update_global_settings.php,25
Modules/Asset/Database/Migrations/2023_12_19_091940_purchased_on_assets_setting_table.php,26
Modules/Asset/Database/Seeders/AssetDatabaseSeeder.php,21
Modules/Asset/Database/factories/AssetFactory.php,35
Modules/Asset/Database/factories/AssetHistoryFactory.php,31
Modules/Asset/Entities/Asset.php,90
Modules/Asset/Entities/AssetHistory.php,103
Modules/Asset/Entities/AssetSetting.php,41
Modules/Asset/Entities/AssetType.php,46
Modules/Asset/Http/Controllers/AssetController.php,180
Modules/Asset/Http/Controllers/AssetHistoryController.php,146
Modules/Asset/Http/Controllers/AssetSettingController.php,68
Modules/Asset/Http/Controllers/AssetTypeController.php,90
Modules/Asset/Http/Requests/AssetType/StoreRequest.php,30
Modules/Asset/Http/Requests/LendRequest.php,31
Modules/Asset/Http/Requests/ReturnRequest.php,38
Modules/Asset/Http/Requests/StoreRequest.php,40
Modules/Asset/Http/Requests/UpdateRequest.php,40
Modules/Asset/Listeners/CompanyCreatedListener.php,20
Modules/Asset/Notifications/AssetLent.php,74
Modules/Asset/Notifications/AssetReturn.php,76
Modules/Asset/Observers/AssetHistoryObserver.php,85
Modules/Asset/Observers/AssetObserver.php,51
Modules/Asset/Observers/AssetTypeObserver.php,16
Modules/Asset/Providers/AssetServiceProvider.php,131
Modules/Asset/Providers/EventServiceProvider.php,26
Modules/Asset/Providers/RouteServiceProvider.php,57
Modules/Asset/Resources/lang/ar/app.php,64
Modules/Asset/Resources/lang/ar/email.php,4
Modules/Asset/Resources/lang/ar/modules.php,7
Modules/Asset/Resources/lang/bg/app.php,64
Modules/Asset/Resources/lang/bg/email.php,4
Modules/Asset/Resources/lang/bg/modules.php,7
Modules/Asset/Resources/lang/de/app.php,64
Modules/Asset/Resources/lang/de/email.php,4
Modules/Asset/Resources/lang/de/modules.php,7
Modules/Asset/Resources/lang/el/app.php,64
Modules/Asset/Resources/lang/el/email.php,4
Modules/Asset/Resources/lang/el/modules.php,7
Modules/Asset/Resources/lang/en/app.php,65
Modules/Asset/Resources/lang/en/email.php,3
Modules/Asset/Resources/lang/en/modules.php,7
Modules/Asset/Resources/lang/eng/app.php,65
Modules/Asset/Resources/lang/eng/email.php,3
Modules/Asset/Resources/lang/eng/modules.php,7
Modules/Asset/Resources/lang/es/app.php,64
Modules/Asset/Resources/lang/es/email.php,4
Modules/Asset/Resources/lang/es/modules.php,7
Modules/Asset/Resources/lang/et/app.php,64
Modules/Asset/Resources/lang/et/email.php,4
Modules/Asset/Resources/lang/et/modules.php,7
Modules/Asset/Resources/lang/fa/app.php,64
Modules/Asset/Resources/lang/fa/email.php,4
Modules/Asset/Resources/lang/fa/modules.php,7
Modules/Asset/Resources/lang/fr/app.php,64
Modules/Asset/Resources/lang/fr/email.php,4
Modules/Asset/Resources/lang/fr/modules.php,7
