"Path","Files","Lines"
"Modules/Purchase/Http/Controllers/PurchaseVendorController.php","1","422"
"app/Http/Controllers/EstimateTemplateController.php","1","421"
"app/Http/Controllers/RolePermissionController.php","1","420"
"database/seeders/ProjectSeeder.php","1","418"
"app/Console/Commands/AssignShiftRotation.php","1","414"
"app/Providers/FortifyServiceProvider.php","1","412"
"Modules/Warehouse/Services/StockMovementService.php","1","411"
"Modules/ServerManager/Http/Controllers/DomainController.php","1","405"
"app/DataTables/RecurringInvoicesDataTable.php","1","405"
"app/DataTables/EstimatesDataTable.php","1","402"
"app/Models/Attendance.php","1","401"
"app/DataTables/LeaveDataTable.php","1","400"
"app/Http/Controllers/RecurringExpenseController.php","1","399"
"Modules/Purchase/DataTables/PurchaseProductsDataTable.php","1","398"
"app/Http/Controllers/ProposalTemplateController.php","1","396"
"Modules/Performance/Http/Controllers/KeyResultsController.php","1","396"
"app/Exports/AttendanceExport.php","1","395"
"bootstrap/cache/services.php","1","391"
"Modules/ServerManager/Database/Seeders/ServerProviderSeeder.php","1","388"
"Modules/Production/Services/ProductionPostingService.php","1","387"
"app/Http/Controllers/PublicUrlController.php","1","387"
"Modules/Zoom/DataTables/MeetingDataTable.php","1","385"
"Modules/Recruit/DataTables/InterviewScheduleDataTable.php","1","381"
"config/app.php","1","379"
"app/Observers/PaymentObserver.php","1","378"
"app/Jobs/ImportSalesHistoryChunkJob.php","1","375"
"Modules/Recruit/Database/Migrations/2022_09_15_061628_create_recruit_job_category.php","1","375"
"app/Http/Controllers/CustomModuleController.php","1","373"
"app/Http/Controllers/LeadReportController.php","1","369"
"Modules/Recruit/DataTables/JobOfferLetterDataTable.php","1","368"
"Modules/Performance/Http/Controllers/ObjectiveController.php","1","368"
"Modules/ServerManager/Http/Controllers/HostingController.php","1","367"
"app/Http/Controllers/DepartmentController.php","1","364"
"Modules/ServerManager/Database/Seeders/ServerTypeSeeder.php","1","363"
"Modules/Warehouse/Services/InvoiceWarehouseStockService.php","1","360"
"app/DataTables/SuperAdmin/CompanyDataTable.php","1","359"
"Modules/Warehouse/Services/VendorCreditWarehouseStockService.php","1","359"
"app/Http/Controllers/ImportController.php","1","356"
"Modules/Purchase/Observers/PurchaseOrderObserver.php","1","355"
"Modules/Recruit/DataTables/JobApplicationsDataTable.php","1","353"
"Modules/Webhooks/Http/Controllers/WebhooksController.php","1","352"
"Modules/Purchase/Http/Controllers/DeliveryOrderController.php","1","351"
"app/DataTables/ContractsDataTable.php","1","349"
"app/Services/EstimateImportProcessor.php","1","349"
"Modules/Production/Http/Controllers/ProductionBatchController.php","1","347"
"Modules/Performance/Http/Controllers/CheckInController.php","1","346"
"Modules/ServerManager/Entities/ServerHosting.php","1","346"
"app/Console/Commands/ConvertTaskBase64Images.php","1","346"
"Modules/EInvoice/DataTables/InvoicesDataTable.php","1","346"
"Modules/Purchase/DataTables/PurchaseOrderDataTable.php","1","345"
"app/DataTables/ClientsDataTable.php","1","345"
"Modules/Payroll/Exports/SalaryMonthlyReport.php","1","344"
"config/ide-helper.php","1","344"
"app/Traits/FinanceDashboard.php","1","340"
"app/Http/Controllers/SuperAdmin/SuperadminRolePermissionController.php","1","340"
"app/Console/Commands/AnnualCarryForwardLeaves.php","1","339"
"app/Traits/HRDashboard.php","1","339"
"app/Http/Controllers/SuperAdmin/SuperAdminController.php","1","339"
"app/Console/Commands/AnnualReimburseLeaves.php","1","339"
"app/Http/Controllers/AppSettingController.php","1","338"
"app/Models/Invoice.php","1","333"
"app/Http/Controllers/DesignationController.php","1","329"
"app/Http/Controllers/MessageController.php","1","329"
"config/excel.php","1","328"
"Modules/DeveloperTools/Services/DbAccessPolicy.php","1","327"
"app/Models/ProjectTimeLog.php","1","327"
"app/DataTables/PaymentsDataTable.php","1","326"
"Modules/DeveloperTools/Config/config.php","1","324"
"Modules/Recruit/Entities/RecruitSetting.php","1","324"
"app/DataTables/OrdersDataTable.php","1","324"
"app/Http/Controllers/WeeklyTimesheetController.php","1","322"
"app/Http/Controllers/SuperAdmin/PackageController.php","1","321"
"app/Console/Commands/FixUpgradeCompanyCommand.php","1","320"
"Modules/Policy/DataTables/ArchivePolicyDataTable.php","1","319"
"app/DataTables/EventDataTable.php","1","318"
"app/Http/Controllers/ProjectTemplateController.php","1","317"
"app/DataTables/ExpensesDataTable.php","1","317"
"app/Http/Controllers/NoticeController.php","1","317"
"app/Observers/LeaveObserver.php","1","312"
"app/DataTables/LeadContactDataTable.php","1","310"
"Modules/LanguagePack/Console/SyncKeysCommand.php","1","308"
"app/Traits/ProjectProgress.php","1","305"
"app/Http/Controllers/SuperAdmin/FrontSetting/FooterSettingController.php","1","302"
"app/Models/LanguageSetting.php","1","301"
"Modules/Payroll/Exports/SalaryCumulativeReport.php","1","299"
"app/Observers/ExpenseObserver.php","1","298"
"app/Observers/ProposalObserver.php","1","298"
"app/DataTables/RecurringEventDataTable.php","1","297"
"Modules/Biometric/Entities/BiometricEmployee.php","1","295"
"Modules/ServerManager/Entities/ServerDomain.php","1","295"
"app/Http/Controllers/ClientNoteController.php","1","295"
"Modules/Recruit/DataTables/JobDataTable.php","1","295"
"app/Models/Country.php","1","293"
"app/DataTables/ProposalDataTable.php","1","293"
"Modules/Recruit/Database/Seeders/JobsTableSeeder.php","1","292"
"database/migrations/2022_09_20_045836_add_bank_account_module_in_module_table.php","1","292"
"app/Http/Controllers/EstimateRequestController.php","1","289"
"app/DataTables/ProductsDataTable.php","1","289"
"app/DataTables/TimeLogConsolidatedReportDataTable.php","1","288"
"app/Models/Product.php","1","288"
"Modules/Pricing/Http/Controllers/PricingTierController.php","1","287"
"app/DataTables/InvoiceRecurringDataTable.php","1","287"
"database/migrations/2023_03_05_065728_missing_data_fix.php","1","286"
"app/Http/Controllers/RegisterController.php","1","285"
"app/Models/PermissionRole.php","1","283"
"config/dompdf.php","1","283"
"Modules/QRCode/Http/Controllers/QRCodeController.php","1","282"
"config/backup.php","1","280"
"app/DataTables/TimeLogReportDataTable.php","1","280"
"Modules/Purchase/Console/SalesDoMigrateDataCommand.php","1","280"
"app/Exports/AttendanceByMemberExport.php","1","280"
"Modules/ServerManager/DataTables/DomainDataTable.php","1","280"
"Modules/Purchase/Console/GrnMigrateDataCommand.php","1","280"
"app/Jobs/ImportSalesOrderChunkJob.php","1","280"
"Modules/Purchase/Observers/PurchaseVendorCreditObserver.php","1","279"
"Modules/Pricing/Services/PricingService.php","1","278"
"database/seeders/CountriesTableSeeder.php","1","277"
"app/Http/Controllers/PaymentGatewayCredentialController.php","1","277"
"app/Http/Controllers/SuperAdmin/DashboardController.php","1","276"
"app/DataTables/EstimateRequestDataTable.php","1","276"
"app/DataTables/ArchiveProjectsDataTable.php","1","276"
"app/Http/Controllers/TimelogReportController.php","1","276"
"routes/web-settings.php","1","276"
"Modules/Sms/Providers/SmsServiceProvider.php","1","275"
"Modules/ServerManager/DataTables/HostingDataTable.php","1","274"
"app/Jobs/ImportClientChunkJob.php","1","273"
"app/Http/Controllers/SuperAdmin/PaymentGatewayCredentialController.php","1","273"
"Modules/Letter/Listeners/CompanyCreatedListener.php","1","273"
"app/Models/Ticket.php","1","271"
"Modules/Payroll/DataTables/PayrollExpensesDataTable.php","1","271"
"app/DataTables/TaskReportDataTable.php","1","270"
"Modules/Purchase/Services/SalesDoService.php","1","270"
"Modules/Letter/Http/Controllers/LetterController.php","1","268"
"app/Models/EmailNotificationSetting.php","1","268"
"Modules/Pricing/Http/Controllers/ClientPricingController.php","1","267"
"app/Http/Controllers/ShiftRotationController.php","1","266"
"Modules/Purchase/DataTables/DeliveryOrderDataTable.php","1","265"
"app/Models/CreditNotes.php","1","264"
"Modules/Production/Services/ProductionFgQuantityPolicyService.php","1","262"
"app/Observers/EstimateObserver.php","1","262"
"app/Models/Deal.php","1","261"
"app/DataTables/BankAccountDataTable.php","1","258"
"Modules/Payroll/DataTables/OvertimeRequestDataTable.php","1","257"
"app/DataTables/CreditNotesDataTable.php","1","256"
"app/DataTables/TimeLogWeeklyApprovalReportDataTable.php","1","256"
"database/migrations/2022_09_01_083053_create_global_settings_table.php","1","256"
"Modules/ServerManager/Http/Controllers/ProviderController.php","1","256"
"Modules/Performance/Database/Seeders/ObjectiveDataSeeder.php","1","255"
"routes/SuperAdmin/web.php","1","255"
"app/Exports/EmployeeTimelogs.php","1","254"
"Modules/ServerManager/DataTables/ProviderDataTable.php","1","253"
"Modules/Production/Http/Controllers/ProductionBomController.php","1","252"
"Modules/Purchase/Http/Controllers/VendorNotesController.php","1","252"
"app/DataTables/SuperAdmin/SupportTicketDataTable.php","1","252"
"app/Http/Controllers/SuperAdmin/SupportTicketsController.php","1","252"
"app/DataTables/HolidayDataTable.php","1","252"
"app/Observers/AttendanceObserver.php","1","251"
"app/Http/Controllers/ProjectNoteController.php","1","251"
"Modules/Recruit/Http/Controllers/SkillController.php","1","250"
"app/Http/Controllers/SuperAdmin/FaqController.php","1","250"
"app/Models/UserAuth.php","1","250"
"app/DataTables/TimeLogPendingWeeklyApprovalReportDataTable.php","1","250"
"app/Traits/ClientDashboard.php","1","249"
"Modules/ProjectRoadmap/Http/Controllers/ProjectRoadmapController.php","1","248"
"app/Console/Commands/PackageModulesCommand.php","1","248"
"Modules/Asset/DataTables/AssetDataTable.php","1","248"
"app/Http/Controllers/KnowledgeBaseController.php","1","247"
"app/Exports/ProjectTimeLogsExport.php","1","247"
"app/Models/CustomField.php","1","247"
"app/Console/Commands/FetchTicketEmails.php","1","246"
"Modules/Sms/Http/Controllers/SmsSettingsController.php","1","245"
"app/DataTables/SalesReportDataTable.php","1","244"
"Modules/Performance/Http/Controllers/AgendaController.php","1","243"
"config/modules.php","1","243"
"app/Http/Controllers/SuperAdmin/RazorpayWebhookController.php","1","243"
"app/DataTables/LeaveQuotaReportDataTable.php","1","242"
"app/Http/Controllers/SuperAdmin/CompanyRegisterController.php","1","242"
"app/Http/Controllers/AppreciationController.php","1","242"
